trial_id,title,condition,drug,phase,status
NCT34810,Phase 1 Study of IL-6 Inhibitor in Alzheimer's,Asthma,Metformin,Phase 1,Withdrawn
NCT85467,Phase 2 Study of Metformin in Type 2 Diabetes,Alzheimer's,IL-6 Inhibitor,Phase 2,Withdrawn
NCT54300,Phase 2 Study of mRNA-101 in Cancer,Cancer,mRNA-101,Phase 2,Withdrawn
NCT17181,Phase 2 Study of Monoclonal Antibody in Type 2 Diabetes,Cancer,IL-6 Inhibitor,Phase 3,Recruiting
NCT11581,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,BACE Inhibitor,Phase 3,Withdrawn
NCT97525,Phase 3 Study of Monoclonal Antibody in Alzheimer's,Asthma,BACE Inhibitor,Phase 1,Withdrawn
NCT49863,Phase 1 Study of mRNA-101 in Cancer,Cancer,Monoclonal Antibody,Phase 1,Terminated
NCT99533,Phase 1 Study of mRNA-101 in Rheumatoid Arthritis,Type 2 Diabetes,BACE Inhibitor,Phase 3,Recruiting
NCT92821,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Asthma,IL-6 Inhibitor,Phase 1,Recruiting
NCT72461,Phase 3 Study of Metformin in Alzheimer's,Alzheimer's,mRNA-101,Phase 2,Recruiting
NCT21222,Phase 1 Study of Monoclonal Antibody in Alzheimer's,Cancer,Monoclonal Antibody,Phase 3,Recruiting
NCT71842,Phase 2 Study of mRNA-101 in Rheumatoid Arthritis,Asthma,BACE Inhibitor,Phase 1,Recruiting
NCT55359,Phase 1 Study of Metformin in Type 2 Diabetes,Alzheimer's,mRNA-101,Phase 2,Recruiting
NCT17881,Phase 1 Study of IL-6 Inhibitor in Asthma,Rheumatoid Arthritis,BACE Inhibitor,Phase 3,Recruiting
NCT23568,Phase 2 Study of mRNA-101 in Alzheimer's,Cancer,Metformin,Phase 1,Completed
NCT77758,Phase 1 Study of BACE Inhibitor in Alzheimer's,Rheumatoid Arthritis,Metformin,Phase 3,Withdrawn
NCT56192,Phase 1 Study of Metformin in Cancer,Rheumatoid Arthritis,mRNA-101,Phase 3,Withdrawn
NCT53239,Phase 2 Study of Metformin in Alzheimer's,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 3,Recruiting
NCT97507,Phase 2 Study of mRNA-101 in Asthma,Type 2 Diabetes,mRNA-101,Phase 2,Terminated
NCT28618,Phase 1 Study of BACE Inhibitor in Cancer,Cancer,IL-6 Inhibitor,Phase 1,Terminated
NCT41617,Phase 1 Study of mRNA-101 in Cancer,Alzheimer's,BACE Inhibitor,Phase 1,Completed
NCT96460,Phase 3 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Type 2 Diabetes,BACE Inhibitor,Phase 3,Completed
NCT18548,Phase 2 Study of mRNA-101 in Type 2 Diabetes,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 3,Withdrawn
NCT53528,Phase 2 Study of mRNA-101 in Asthma,Asthma,BACE Inhibitor,Phase 3,Withdrawn
NCT68468,Phase 3 Study of IL-6 Inhibitor in Type 2 Diabetes,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Completed
NCT54605,Phase 2 Study of BACE Inhibitor in Asthma,Alzheimer's,Monoclonal Antibody,Phase 1,Terminated
NCT89501,Phase 1 Study of IL-6 Inhibitor in Alzheimer's,Alzheimer's,mRNA-101,Phase 1,Terminated
NCT57714,Phase 3 Study of BACE Inhibitor in Alzheimer's,Cancer,Monoclonal Antibody,Phase 2,Completed
NCT55421,Phase 3 Study of mRNA-101 in Alzheimer's,Rheumatoid Arthritis,BACE Inhibitor,Phase 1,Recruiting
NCT70284,Phase 1 Study of Metformin in Alzheimer's,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 3,Terminated
NCT48786,Phase 1 Study of mRNA-101 in Rheumatoid Arthritis,Type 2 Diabetes,BACE Inhibitor,Phase 3,Withdrawn
NCT37655,Phase 1 Study of Metformin in Cancer,Type 2 Diabetes,IL-6 Inhibitor,Phase 3,Completed
NCT20987,Phase 1 Study of Monoclonal Antibody in Asthma,Alzheimer's,Metformin,Phase 2,Completed
NCT77563,Phase 3 Study of Monoclonal Antibody in Cancer,Type 2 Diabetes,BACE Inhibitor,Phase 2,Completed
NCT98402,Phase 3 Study of IL-6 Inhibitor in Asthma,Alzheimer's,Metformin,Phase 2,Withdrawn
NCT36381,Phase 2 Study of Metformin in Asthma,Rheumatoid Arthritis,mRNA-101,Phase 3,Terminated
NCT58969,Phase 2 Study of Monoclonal Antibody in Rheumatoid Arthritis,Cancer,Metformin,Phase 2,Terminated
NCT73370,Phase 2 Study of mRNA-101 in Asthma,Alzheimer's,mRNA-101,Phase 1,Recruiting
NCT33284,Phase 3 Study of BACE Inhibitor in Cancer,Rheumatoid Arthritis,BACE Inhibitor,Phase 2,Recruiting
NCT86127,Phase 1 Study of BACE Inhibitor in Alzheimer's,Rheumatoid Arthritis,Monoclonal Antibody,Phase 2,Completed
NCT97374,Phase 1 Study of IL-6 Inhibitor in Cancer,Alzheimer's,BACE Inhibitor,Phase 2,Terminated
NCT69669,Phase 1 Study of Monoclonal Antibody in Rheumatoid Arthritis,Asthma,Metformin,Phase 3,Terminated
NCT56557,Phase 1 Study of mRNA-101 in Asthma,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 2,Recruiting
NCT87499,Phase 2 Study of mRNA-101 in Asthma,Asthma,BACE Inhibitor,Phase 1,Withdrawn
NCT68307,Phase 2 Study of IL-6 Inhibitor in Asthma,Alzheimer's,BACE Inhibitor,Phase 1,Recruiting
NCT74570,Phase 1 Study of Monoclonal Antibody in Asthma,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Completed
NCT77020,Phase 1 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,Monoclonal Antibody,Phase 2,Recruiting
NCT95906,Phase 1 Study of IL-6 Inhibitor in Cancer,Alzheimer's,IL-6 Inhibitor,Phase 2,Recruiting
NCT99510,Phase 3 Study of Monoclonal Antibody in Type 2 Diabetes,Asthma,BACE Inhibitor,Phase 2,Recruiting
NCT73826,Phase 2 Study of Monoclonal Antibody in Alzheimer's,Asthma,IL-6 Inhibitor,Phase 1,Terminated
NCT32399,Phase 3 Study of Metformin in Type 2 Diabetes,Type 2 Diabetes,IL-6 Inhibitor,Phase 2,Completed
NCT75230,Phase 2 Study of Monoclonal Antibody in Asthma,Alzheimer's,Monoclonal Antibody,Phase 1,Withdrawn
NCT62112,Phase 2 Study of Metformin in Type 2 Diabetes,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Terminated
NCT48644,Phase 3 Study of mRNA-101 in Type 2 Diabetes,Rheumatoid Arthritis,Monoclonal Antibody,Phase 2,Withdrawn
NCT17265,Phase 1 Study of BACE Inhibitor in Cancer,Asthma,Monoclonal Antibody,Phase 3,Recruiting
NCT60581,Phase 3 Study of IL-6 Inhibitor in Type 2 Diabetes,Asthma,Monoclonal Antibody,Phase 2,Completed
NCT75930,Phase 2 Study of mRNA-101 in Rheumatoid Arthritis,Rheumatoid Arthritis,Metformin,Phase 2,Recruiting
NCT50466,Phase 2 Study of mRNA-101 in Asthma,Cancer,BACE Inhibitor,Phase 1,Completed
NCT86459,Phase 3 Study of mRNA-101 in Rheumatoid Arthritis,Type 2 Diabetes,mRNA-101,Phase 2,Terminated
NCT50320,Phase 1 Study of BACE Inhibitor in Asthma,Asthma,Monoclonal Antibody,Phase 2,Completed
NCT95528,Phase 3 Study of BACE Inhibitor in Asthma,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Recruiting
NCT16029,Phase 1 Study of Metformin in Cancer,Asthma,mRNA-101,Phase 1,Recruiting
NCT62981,Phase 2 Study of IL-6 Inhibitor in Asthma,Alzheimer's,BACE Inhibitor,Phase 3,Terminated
NCT87873,Phase 3 Study of Metformin in Alzheimer's,Alzheimer's,BACE Inhibitor,Phase 3,Withdrawn
NCT18223,Phase 2 Study of Metformin in Type 2 Diabetes,Asthma,IL-6 Inhibitor,Phase 1,Withdrawn
NCT40979,Phase 3 Study of Metformin in Type 2 Diabetes,Alzheimer's,Monoclonal Antibody,Phase 1,Recruiting
NCT48531,Phase 2 Study of Monoclonal Antibody in Type 2 Diabetes,Rheumatoid Arthritis,BACE Inhibitor,Phase 2,Completed
NCT72970,Phase 2 Study of IL-6 Inhibitor in Asthma,Alzheimer's,BACE Inhibitor,Phase 2,Recruiting
NCT61205,Phase 2 Study of Metformin in Type 2 Diabetes,Cancer,BACE Inhibitor,Phase 2,Withdrawn
NCT55555,Phase 1 Study of mRNA-101 in Alzheimer's,Type 2 Diabetes,IL-6 Inhibitor,Phase 3,Completed
NCT31923,Phase 3 Study of Metformin in Asthma,Alzheimer's,Metformin,Phase 3,Withdrawn
NCT40903,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Type 2 Diabetes,IL-6 Inhibitor,Phase 3,Completed
NCT81960,Phase 3 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Recruiting
NCT18766,Phase 3 Study of mRNA-101 in Rheumatoid Arthritis,Alzheimer's,BACE Inhibitor,Phase 3,Recruiting
NCT96195,Phase 1 Study of IL-6 Inhibitor in Alzheimer's,Rheumatoid Arthritis,mRNA-101,Phase 2,Completed
NCT80752,Phase 1 Study of mRNA-101 in Type 2 Diabetes,Rheumatoid Arthritis,Monoclonal Antibody,Phase 3,Recruiting
NCT10685,Phase 2 Study of Metformin in Rheumatoid Arthritis,Asthma,Monoclonal Antibody,Phase 1,Recruiting
NCT68422,Phase 1 Study of Monoclonal Antibody in Asthma,Type 2 Diabetes,BACE Inhibitor,Phase 3,Completed
NCT93196,Phase 1 Study of BACE Inhibitor in Alzheimer's,Alzheimer's,mRNA-101,Phase 2,Completed
NCT57826,Phase 2 Study of Metformin in Rheumatoid Arthritis,Alzheimer's,IL-6 Inhibitor,Phase 3,Terminated
NCT42226,Phase 2 Study of Metformin in Alzheimer's,Cancer,mRNA-101,Phase 2,Withdrawn
NCT37842,Phase 1 Study of Metformin in Cancer,Alzheimer's,Monoclonal Antibody,Phase 2,Recruiting
NCT98887,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,Metformin,Phase 3,Completed
NCT28645,Phase 2 Study of BACE Inhibitor in Asthma,Asthma,mRNA-101,Phase 1,Withdrawn
NCT32859,Phase 1 Study of Metformin in Rheumatoid Arthritis,Rheumatoid Arthritis,Monoclonal Antibody,Phase 2,Terminated
NCT20144,Phase 3 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,IL-6 Inhibitor,Phase 3,Withdrawn
NCT37761,Phase 1 Study of BACE Inhibitor in Cancer,Cancer,Monoclonal Antibody,Phase 3,Recruiting
NCT17905,Phase 2 Study of Monoclonal Antibody in Asthma,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Recruiting
NCT26952,Phase 1 Study of Monoclonal Antibody in Cancer,Alzheimer's,BACE Inhibitor,Phase 3,Recruiting
NCT69406,Phase 1 Study of mRNA-101 in Rheumatoid Arthritis,Alzheimer's,Monoclonal Antibody,Phase 2,Recruiting
NCT64712,Phase 3 Study of mRNA-101 in Rheumatoid Arthritis,Rheumatoid Arthritis,BACE Inhibitor,Phase 2,Recruiting
NCT16171,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 3,Terminated
NCT30179,Phase 2 Study of mRNA-101 in Type 2 Diabetes,Asthma,Metformin,Phase 2,Terminated
NCT69237,Phase 1 Study of IL-6 Inhibitor in Asthma,Type 2 Diabetes,IL-6 Inhibitor,Phase 1,Terminated
NCT90771,Phase 3 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Asthma,Monoclonal Antibody,Phase 2,Terminated
NCT22011,Phase 2 Study of Monoclonal Antibody in Cancer,Rheumatoid Arthritis,mRNA-101,Phase 1,Terminated
NCT71442,Phase 2 Study of mRNA-101 in Asthma,Type 2 Diabetes,mRNA-101,Phase 1,Recruiting
NCT45205,Phase 2 Study of IL-6 Inhibitor in Asthma,Rheumatoid Arthritis,mRNA-101,Phase 3,Completed
NCT42438,Phase 1 Study of Metformin in Asthma,Asthma,IL-6 Inhibitor,Phase 1,Terminated
NCT27314,Phase 2 Study of Monoclonal Antibody in Alzheimer's,Asthma,Metformin,Phase 2,Completed
NCT25012,Phase 1 Study of IL-6 Inhibitor in Alzheimer's,Asthma,Metformin,Phase 1,Withdrawn
NCT38682,Phase 2 Study of mRNA-101 in Rheumatoid Arthritis,Cancer,Metformin,Phase 1,Recruiting
NCT90639,Phase 1 Study of IL-6 Inhibitor in Cancer,Type 2 Diabetes,mRNA-101,Phase 1,Terminated
